,AI/ML,Cloud/DevOps,Front-End,Back-End,Mobile,n(row)
Junior,1532,1893,2104,1856,1428,8813
Mid-career,2215,2754,2532,2647,1983,12131
Senior+,1876,2431,2143,2362,1452,10264
